Product_Name,Stock_Quantity,Total_Inventory_Value,Discounted_Revenue,Is_Best_Seller
Sushi Rice,22.0,99.0,129.6,False
Arabica Coffee,45.0,900.0,1530.0,False
Black Rice,30.0,180.0,167.4,False
Long Grain Rice,12.0,18.0,128.25,False
Plum,37.0,148.0,223.2,False
All-Purpose Flour,55.0,96.25,53.55,False
Corn Oil,96.0,240.0,150.75,False
Egg (Goose),44.0,110.0,47.25,False
Greek Yogurt,91.0,273.0,151.2,False
Egg (Duck),43.0,43.0,24.3,False
Long Grain Rice,62.0,99.2,144.0,True
White Sugar,91.0,182.0,180.0,False
Rye Bread,26.0,78.0,126.9,False
Plum,95.0,380.0,248.4,False
Strawberries,54.0,324.0,340.2,False
Feta Cheese,94.0,658.0,126.0,False
Bread Flour,27.0,40.5,89.1,False
Swiss Cheese,49.0,392.0,561.6,False
Arabica Coffee,55.0,1100.0,828.0,False
White Sugar,65.0,130.0,52.2,False
Spinach,72.0,180.0,184.5,False
Trout,49.0,588.0,561.6,False
Green Beans,81.0,162.0,36.0,False
Cabbage,88.0,88.0,65.7,False
Parmesan Cheese,63.0,756.0,637.2,False
Raw Sugar,31.0,46.5,62.1,False
Egg (Quail),97.0,77.6,69.84,False
Mushrooms,72.0,432.0,507.6,False
Oatmeal Biscuit,16.0,80.0,225.0,False
Pear,77.0,346.5,247.05,False
Cucumber,19.0,33.25,48.82,False
Pineapple,18.0,63.0,132.3,False
Olive Oil,47.0,282.0,226.8,False
Herbal Tea,77.0,2310.0,675.0,False
Haddock,46.0,414.0,526.5,False
Onion,39.0,78.0,108.0,False
Sushi Rice,75.0,337.5,174.15,False
Pineapple,48.0,165.6,158.36,False
Zucchini,61.0,152.5,177.75,False
Short Grain Rice,60.0,180.0,126.9,False
Mango,24.0,120.0,175.5,False
Lemon,12.0,27.6,136.62,False
Black Coffee,84.0,1260.0,337.5,False
Butter,51.0,153.0,108.0,False
Multigrain Bread,65.0,227.5,100.8,False
Long Grain Rice,67.0,100.5,89.1,False
Bread Flour,14.0,21.0,49.95,False
Kiwi,45.0,270.0,237.6,False
Mango,92.0,460.0,108.0,False
Sourdough Bread,41.0,164.0,151.2,False
Short Grain Rice,41.0,184.5,153.9,False
Orange,85.0,255.0,256.5,False
Pineapple,44.0,149.6,293.76,False
White Bread,92.0,230.0,137.25,False
Green Coffee,62.0,744.0,378.0,False
Zucchini,26.0,65.0,128.25,False
